id,title,slug,description,parentId
d2a1b9c8-f7e6-4d5c-8b4a-3e2f1g9h8i7j,Category 15,category-15,Detailed description for Category 15, covering various sub-topics and products.,""
a1b9c8d7-e6f5-4e4d-8c3b-2e1f9g8h7i6j,Category 16,category-16,Detailed description for Category 16, covering various sub-topics and products.,""
b9c8d7a6-f5e4-4f3e-8d2c-1f9e8g7h6i5j,Category 17,category-17,Detailed description for Category 17, covering various sub-topics and products.,""
c8d7a6b5-e4f3-4a2f-8e1d-9e8f7g6h5i4j,Category 18,category-18,Detailed description for Category 18, covering various sub-topics and products.,""
d7a6b5c4-f3e2-4b1g-8f9e-8f7g6h5i4j3k,Category 19,category-19,Detailed description for Category 19, covering various sub-topics and products.,""
a6b5c4d3-e2f1-4c9h-8a8b-7g6h5i4j3k2l,Category 20,category-20,Detailed description for Category 20, covering various sub-topics and products.,""
b5c4d3a2-f1e9-4d8i-8b7c-6h5i4j3k2l1m,Category 21,category-21,Detailed description for Category 21, covering various sub-topics and products.,""
c4d3a2b1-e9f8-4e7j-8c6d-5i4j3k2l1m9n,Category 22,category-22,Detailed description for Category 22, covering various sub-topics and products.,""
d3a2b1c9-f8e7-4f6k-8d5e-4j3k2l1m9n8o,Category 23,category-23,Detailed description for Category 23, covering various sub-topics and products.,""
a2b1c9d8-e7f6-4a5l-8e4f-3k2l1m9n8o7p,Category 24,category-24,Detailed description for Category 24, covering various sub-topics and products.,""
b1c9d8a7-f6e5-4b4m-8f3g-2l1m9n8o7p6q,Category 25,category-25,Detailed description for Category 25, covering various sub-topics and products.,""
c9d8a7b6-e5f4-4c3n-8a2h-1m9n8o7p6q5r,Category 26,category-26,Detailed description for Category 26, covering various sub-topics and products.,""
d8a7b6c5-f4e3-4d2o-8b1i-9n8o7p6q5r4s,Category 27,category-27,Detailed description for Category 27, covering various sub-topics and products.,""
a7b6c5d4-e3f2-4e1p-8c9j-8o7p6q5r4s3t,Category 28,category-28,Detailed description for Category 28, covering various sub-topics and products.,""
b6c5d4a3-f2e1-4f9q-8d8k-7p6q5r4s3t2u,Category 29,category-29,Detailed description for Category 29, covering various sub-topics and products.,""
c5d4a3b2-e1f9-4a8r-8e7l-6q5r4s3t2u1v,Category 30,category-30,Detailed description for Category 30, covering various sub-topics and products.,""
d4a3b2c1-f9e8-4b7s-8f6m-5r4s3t2u1v9w,Category 31,category-31,Detailed description for Category 31, covering various sub-topics and products.,""
a3b2c1d9-e8f7-4c6t-8a5n-4s3t2u1v9w8x,Category 32,category-32,Detailed description for Category 32, covering various sub-topics and products.,""
b2c1d9a8-f7e6-4d5u-8b4o-3t2u1v9w8x7y,Category 33,category-33,Detailed description for Category 33, covering various sub-topics and products.,""
c1d9a8b7-e6f5-4e4v-8c3p-2u1v9w8x7y6z,Category 34,category-34,Detailed description for Category 34, covering various sub-topics and products.,""
d9a8b7c6-f5e4-4f3w-8d2q-1v9w8x7y6z5a,Category 35,category-35,Detailed description for Category 35, covering various sub-topics and products.,""
a8b7c6d5-e4f3-4a2x-8e1r-9w8x7y6z5a4b,Category 36,category-36,Detailed description for Category 36, covering various sub-topics and products.,""
b7c6d5a4-f3e2-4b1y-8f9s-8x7y6z5a4b3c,Category 37,category-37,Detailed description for Category 37, covering various sub-topics and products.,""
c6d5a4b3-e2f1-4c9z-8a8t-7y6z5a4b3c2d,Category 38,category-38,Detailed description for Category 38, covering various sub-topics and products.,""
d5a4b3c2-f1e9-4d8a-8b7u-6z5a4b3c2d1e,Category 39,category-39,Detailed description for Category 39, covering various sub-topics and products.,""
a4b3c2d1-e9f8-4e7b-8c6v-5a4b3c2d1e9f,Category 40,category-40,Detailed description for Category 40, covering various sub-topics and products.,""
b3c2d1a9-f8e7-4f6c-8d5w-4b3c2d1e9f8g,Category 41,category-41,Detailed description for Category 41, covering various sub-topics and products.,""
c2d1a9b8-e7f6-4a5d-8e4x-3c2d1e9f8g7h,Category 42,category-42,Detailed description for Category 42, covering various sub-topics and products.,""
d1a9b8c7-f6e5-4b4e-8f3y-2d1e9f8g7h6i,Category 43,category-43,Detailed description for Category 43, covering various sub-topics and products.,""
a9b8c7d6-e5f4-4c3f-8a2z-1e9f8g7h6i5j,Category 44,category-44,Detailed description for Category 44, covering various sub-topics and products.,""
b8c7d6a5-f4e3-4d2a-8b1a-9f8g7h6i5j4k,Category 45,category-45,Detailed description for Category 45, covering various sub-topics and products.,""
c7d6a5b4-e3f2-4e1b-8c9b-8g7h6i5j4k3l,Category 46,category-46,Detailed description for Category 46, covering various sub-topics and products.,""
d6a5b4c3-f2e1-4f9c-8d8c-7h6i5j4k3l2m,Category 47,category-47,Detailed description for Category 47, covering various sub-topics and products.,""
a5b4c3d2-e1f9-4a8d-8e7d-6i5j4k3l2m1n,Category 48,category-48,Detailed description for Category 48, covering various sub-topics and products.,""
b4c3d2a1-f9e8-4b7e-8f6e-5j4k3l2m1n9o,Category 49,category-49,Detailed description for Category 49, covering various sub-topics and products.,""
c3d2a1b9-e8f7-4c6f-8a5f-4k3l2m1n9o8p,Category 50,category-50,Detailed description for Category 50, covering various sub-topics and products.,""
d2a1b9c8-f7e6-4d5g-8b4g-3l2m1n9o8p7q,Category 51,category-51,Detailed description for Category 51, covering various sub-topics and products.,""
a1b9c8d7-e6f5-4e4h-8c3h-2m1n9o8p7q6r,Category 52,category-52,Detailed description for Category 52, covering various sub-topics and products.,""
b9c8d7a6-f5e4-4f3i-8d2i-1n9o8p7q6r5s,Category 53,category-53,Detailed description for Category 53, covering various sub-topics and products.,""
c8d7a6b5-e4f3-4a2j-8e1j-9o8p7q6r5s4t,Category 54,category-54,Detailed description for Category 54, covering various sub-topics and products.,""
d7a6b5c4-f3e2-4b1k-8f9k-8p7q6r5s4t3u,Category 55,category-55,Detailed description for Category 55, covering various sub-topics and products.,""
a6b5c4d3-e2f1-4c9l-8a8l-7q6r5s4t3u2v,Category 56,category-56,Detailed description for Category 56, covering various sub-topics and products.,""
b5c4d3a2-f1e9-4d8m-8b7m-6r5s4t3u2v1w,Category 57,category-57,Detailed description for Category 57, covering various sub-topics and products.,""
c4d3a2b1-e9f8-4e7n-8c6n-5s4t3u2v1w9x,Category 58,category-58,Detailed description for Category 58, covering various sub-topics and products.,""
d3a2b1c9-f8e7-4f6o-8d5o-4t3u2v1w9x8y,Category 59,category-59,Detailed description for Category 59, covering various sub-topics and products.,""
a2b1c9d8-e7f6-4a5p-8e4p-3u2v1w9x8y7z,Category 60,category-60,Detailed description for Category 60, covering various sub-topics and products.,""
b1c9d8a7-f6e5-4b4q-8f3q-2v1w9x8y7z6a,Category 61,category-61,Detailed description for Category 61, covering various sub-topics and products.,""
c9d8a7b6-e5f4-4c3r-8a2r-1w9x8y7z6a5b,Category 62,category-62,Detailed description for Category 62, covering various sub-topics and products.,""
d8a7b6c5-f4e3-4d2s-8b1s-9x8y7z6a5b4c,Category 63,category-63,Detailed description for Category 63, covering various sub-topics and products.,""
a7b6c5d4-e3f2-4e1t-8c9t-8y7z6a5b4c3d,Category 64,category-64,Detailed description for Category 64, covering various sub-topics and products.,""
b6c5d4a3-f2e1-4f9u-8d8u-7z6a5b4c3d2e,Category 65,category-65,Detailed description for Category 65, covering various sub-topics and products.,""
c5d4a3b2-e1f9-4a8v-8e7v-6a5b4c3d2e1f,Category 66,category-66,Detailed description for Category 66, covering various sub-topics and products.,""
d4a3b2c1-f9e8-4b7w-8f6w-5b4c3d2e1f9g,Category 67,category-67,Detailed description for Category 67, covering various sub-topics and products.,""
a3b2c1d9-e8f7-4c6x-8a5x-4c3d2e1f9g8h,Category 68,category-68,Detailed description for Category 68, covering various sub-topics and products.,""
b2c1d9a8-f7e6-4d5y-8b4y-3d2e1f9g8h7i,Category 69,category-69,Detailed description for Category 69, covering various sub-topics and products.,""
c1d9a8b7-e6f5-4e4z-8c3z-2e1f9g8h7i6j,Category 70,category-70,Detailed description for Category 70, covering various sub-topics and products.,""
d9a8b7c6-f5e4-4f3a-8d2a-1f9g8h7i6j5k,Category 71,category-71,Detailed description for Category 71, covering various sub-topics and products.,""
a8b7c6d5-e4f3-4a2b-8e1b-9g8h7i6j5k4l,Category 72,category-72,Detailed description for Category 72, covering various sub-topics and products.,""
b7c6d5a4-f3e2-4b1c-8f9c-8h7i6j5k4l3m,Category 73,category-73,Detailed description for Category 73, covering various sub-topics and products.,""
c6d5a4b3-e2f1-4c9d-8a8d-7i6j5k4l3m2n,Category 74,category-74,Detailed description for Category 74, covering various sub-topics and products.,""
d5a4b3c2-f1e9-4d8e-8b7e-6j5k4l3m2n1o,Category 75,category-75,Detailed description for Category 75, covering various sub-topics and products.,""
a4b3c2d1-e9f8-4e7f-8c6f-5k4l3m2n1o9p,Category 76,category-76,Detailed description for Category 76, covering various sub-topics and products.,""
b3c2d1a9-f8e7-4f6g-8d5g-4l3m2n1o9p8q,Category 77,category-77,Detailed description for Category 77, covering various sub-topics and products.,""
c2d1a9b8-e7f6-4a5h-8e4h-3m2n1o9p8q7r,Category 78,category-78,Detailed description for Category 78, covering various sub-topics and products.,""
d1a9b8c7-f6e5-4b4i-8f3i-2n1o9p8q7r6s,Category 79,category-79,Detailed description for Category 79, covering various sub-topics and products.,""
a9b8c7d6-e5f4-4c3j-8a2j-1o9p8q7r6s5t,Category 80,category-80,Detailed description for Category 80, covering various sub-topics and products.,""
b8c7d6a5-f4e3-4d2k-8b1k-9p8q7r6s5t4u,Category 81,category-81,Detailed description for Category 81, covering various sub-topics and products.,""
c7d6a5b4-e3f2-4e1l-8c9l-8q7r6s5t4u3v,Category 82,category-82,Detailed description for Category 82, covering various sub-topics and products.,""
d6a5b4c3-f2e1-4f9m-8d8m-7r6s5t4u3v2w,Category 83,category-83,Detailed description for Category 83, covering various sub-topics and products.,""
a5b4c3d2-e1f9-4a8n-8e7n-6s5t4u3v2w1x,Category 84,category-84,Detailed description for Category 84, covering various sub-topics and products.,""
b4c3d2a1-f9e8-4b7o-8f6o-5t4u3v2w1x9y,Category 85,category-85,Detailed description for Category 85, covering various sub-topics and products.,""
c3d2a1b9-e8f7-4c6p-8a5p-4u3v2w1x9y8z,Category 86,category-86,Detailed description for Category 86, covering various sub-topics and products.,""
d2a1b9c8-f7e6-4d5q-8b4q-3v2w1x9y8z7a,Category 87,category-87,Detailed description for Category 87, covering various sub-topics and products.,""
a1b9c8d7-e6f5-4e4r-8c3r-2w1x9y8z7a6b,Category 88,category-88,Detailed description for Category 88, covering various sub-topics and products.,""
b9c8d7a6-f5e4-4f3s-8d2s-1x9y8z7a6b5c,Category 89,category-89,Detailed description for Category 89, covering various sub-topics and products.,""
c8d7a6b5-e4f3-4a2t-8e1t-9y8z7a6b5c4d,Category 90,category-90,Detailed description for Category 90, covering various sub-topics and products.,""
d7a6b5c4-f3e2-4b1u-8f9u-8z7a6b5c4d3e,Category 91,category-91,Detailed description for Category 91, covering various sub-topics and products.,""
a6b5c4d3-e2f1-4c9v-8a8v-7a6b5c4d3e2f,Category 92,category-92,Detailed description for Category 92, covering various sub-topics and products.,""
b5c4d3a2-f1e9-4d8w-8b7w-6b5c4d3e2f1g,Category 93,category-93,Detailed description for Category 93, covering various sub-topics and products.,""
c4d3a2b1-e9f8-4e7x-8c6x-5c4d3e2f1g9h,Category 94,category-94,Detailed description for Category 94, covering various sub-topics and products.,""
d3a2b1c9-f8e7-4f6y-8d5y-4d3e2f1g9h8i,Category 95,category-95,Detailed description for Category 95, covering various sub-topics and products.,""
a2b1c9d8-e7f6-4a5z-8e4z-3e2f1g9h8i7j,Category 96,category-96,Detailed description for Category 96, covering various sub-topics and products.,""
b1c9d8a7-f6e5-4b4a-8f3a-2f1g9h8i7j6k,Category 97,category-97,Detailed description for Category 97, covering various sub-topics and products.,""
c9d8a7b6-e5f4-4c3b-8a2b-1g9h8i7j6k5l,Category 98,category-98,Detailed description for Category 98, covering various sub-topics and products.,""
d8a7b6c5-f4e3-4d2c-8b1c-9h8i7j6k5l4m,Category 99,category-99,Detailed description for Category 99, covering various sub-topics and products.,""
a7b6c5d4-e3f2-4e1d-8c9d-8i7j6k5l4m3n,Category 100,category-100,Detailed description for Category 100, covering various sub-topics and products.,""
a4d31d1b-7333-4f1b-8f38-66258d4a6ec7,Category 101,category-101,Detailed description for Category 101, covering various sub-topics and products.,d7a6b5c4-f3e2-4b1k-8f9k-8p7q6r5s4t3u
f0c97801-b382-4161-9f2d-60a6a2a0ff99,Category 102,category-102,Detailed description for Category 102, covering various sub-topics and products.,b8c7d6a5-f4e3-4d2a-8b1a-9f8g7h6i5j4k
b0e9f19e-e02d-45f8-b80c-7b443577d24a,Category 103,category-103,Detailed description for Category 103, covering various sub-topics and products.,a7b6c5d4-e3f2-4e1d-8c9d-8i7j6k5l4m3n

